x,z_lower,z_upper
3.1950399322509764,8.8057560501408929,9.1622451741100477
3.1955971832275392,8.8053662743237915,9.162558534811847
3.1961544494628908,8.8049764878337502,9.1628258785852541
3.1967117004394532,8.8045867120166488,9.1630816237214336
3.1972689514160155,8.8041969361995491,9.1633373688576114
3.1978262176513672,8.8038071497095061,9.1635931209966692
3.1983834686279295,8.8034173738924046,9.1638488661328488
3.1989407196044923,8.8030541349854659,9.1641046112690283
3.1994979858398436,8.8027064032831284,9.1643603634080861
3.2000552368164064,8.8024143244420756,9.1646161085442657
3.200612503051758,8.8021319112988188,9.1648718606833235
3.2011697540283204,8.8018495058884589,9.1651276058195013
3.2017270050048827,8.8015671004780991,9.1653833509556808
3.2022842712402344,8.801284687334844,9.1656391030947386
3.2028415222167967,8.8010022819244842,9.1658948482309182
3.2033987884521484,8.8007198687812274,9.166150600369976
3.2039560394287108,8.8004374633708693,9.1664063455061555
3.2045132904052736,8.8001550579605095,9.1666620906423333
3.2050705566406252,8.7998726448172526,9.1669178427813911
3.2056278076171876,8.7995902394068928,9.1671735879175706
3.2061850738525393,8.7993078262636359,9.1674293400566285
3.2067423248291016,8.7990254208532779,9.167685085192808
3.2072995758056639,8.798743015442918,9.1679408303289858
3.2078568420410156,8.798460602299663,9.1681965824680454
3.208414093017578,8.7981781968893031,9.1684523276042231
3.2089713439941407,8.7978957914789433,9.1687080727404027
3.209528610229492,8.7976133783356865,9.1689638248794605
3.2100858612060548,8.7973309729253266,9.16921957001564
3.2106431274414065,8.7970485597820716,9.1694753221546978
3.2112003784179688,8.7967661543717117,9.1697310672908756
3.2117576293945311,8.7964837489613537,9.1699868124270552
3.2123148956298828,8.7962013358180968,9.170242564566113
3.2128721466064452,8.795918930407737,9.1704983097022925
3.2134294128417968,8.7956365172644801,9.1707540618413503
3.2139866638183592,8.7953541118541221,9.1710098069775299
3.214543914794922,8.7950717064437622,9.1712655521137076
3.2151011810302732,8.7947892933005054,9.1715213042527655
3.215658432006836,8.7945068878901456,9.171777049388945
3.2162156982421877,8.7942244747468905,9.1720328015280028
3.21677294921875,8.7939420693365307,9.1722885466641824
3.2173302001953124,8.7936596639261726,9.1725442918003601
3.217887466430664,8.793377250782914,9.1728000439394179
3.2184447174072264,8.7930948453725559,9.1730557890755975
3.2190019836425781,8.7928124322292991,9.1733115412146553
3.2195592346191404,8.7925300268189392,9.1735672863508348
3.2201164855957032,8.7922476214085812,9.1738230314870144
3.2206737518310549,8.7919652082653243,9.1740787836260722
3.2212310028076172,8.7916828028549645,9.17433452876225
3.2217882537841795,8.7914003974446047,9.1745902738984295
3.2223455200195312,8.7911179843013478,9.1748460260374873
3.2229027709960936,8.7908355788909898,9.1751017711736669
3.2234600372314453,8.7905531657477329,9.1753575233127247
3.2240172882080076,8.7902707603373749,9.1756132684489025
3.2245745391845704,8.789988354927015,9.175869013585082
3.2251318054199221,8.7897059417837582,9.1761247657241398
3.2256890563964844,8.7894235363733983,9.1763805108603194
3.2262463226318361,8.7891411232301415,9.1766362629993772
3.2268035736083984,8.7888587178197835,9.1768920081355567
3.2273608245849608,8.7885763124094236,9.1771231652883767
3.2279180908203124,8.7882938992661686,9.1773525389644632
3.2284753417968748,8.7880114938558087,9.1775818981154789
3.2290326080322265,8.7877290807125519,9.1778112635468645
3.2295898590087893,8.787446675302192,9.1780367644139869
3.2301471099853516,8.787164269891834,9.1782622610111488
3.2307043762207033,8.7868995601510171,9.1784877637829165
3.2312616271972656,8.7866536370790378,9.1787132603800785
3.231818878173828,8.7864077140070567,9.1789387569772405
3.2323761444091796,8.7861617842011484,9.1791642597490082
3.232933395385742,8.785915861129169,9.1793897563461702
3.2334906616210937,8.7856699313232607,9.1796152591179379
3.2340479125976564,8.7854240082512813,9.1798407557150998
3.2346051635742188,8.7851780851793002,9.1800662523122618
3.2351624298095705,8.7849321553733919,9.1802917550840295
3.2357196807861328,8.7846862323014125,9.1805172516811915
3.2362769470214845,8.7844403024955042,9.1807427544529592
3.2368341979980468,8.7841943794235249,9.1809682510501212
3.2373914489746092,8.7839484563515438,9.1811937476472831
3.2379487152099609,8.7837025265456354,9.1814192504190508
3.2385059661865236,8.7834566034736561,9.1816447470162128
3.2390632324218749,8.7832106736677478,9.1818702497879805
3.2396204833984377,8.7829647505957684,9.1820957463851425
3.240177734375,8.7827188275237873,9.1823212429823045
3.2407350006103517,8.782472897717879,9.1825467457540721
3.241292251586914,8.7822269746458996,9.1827722423512341
3.2418495178222657,8.7819810448399913,9.1829977451230018
3.2424067687988281,8.7817351217680102,9.1832232417201638
3.2429640197753908,8.7814891986960308,9.1834487383173258
3.2435212860107421,8.7812432688901225,9.1836742410890935
3.2440785369873049,8.7809973458181432,9.1838997376862554
3.2446357879638672,8.780751422746162,9.1841252342834174
3.2451930541992189,8.7805099807393372,9.1843507370551851
3.2457503051757812,8.780282569324374,9.1845762336523471
3.2463075714111329,8.7800819350739125,9.1848017364241148
3.2468648223876952,8.7798886684868052,9.1850272330212768
3.247422073364258,8.7796889179874089,9.1852527296184387
3.2479793395996093,8.7794891620183932,9.1854782323902064
3.2485365905761721,8.7792894115189952,9.1857037289873684
3.2490938568115233,8.7790896555499796,9.1859292317591361
3.2496511077880861,8.7788899050505815,9.1861547283562981
3.2502083587646484,8.7786901545511835,9.1863802249534601
3.2507656250000001,8.7784903985821678,9.1866057277252278
