x,z
4.728428850000000239e+00,9.033556839999999255e+00
4.727545459999999977e+00,9.033861350000000456e+00
4.726327060000000024e+00,9.034283759999999219e+00
4.725648630000000239e+00,9.034546029999999561e+00
4.724906490000000403e+00,9.034778230000000576e+00
4.723070489999999566e+00,9.035410239999999149e+00
4.722194069999999577e+00,9.035717670000000368e+00
4.721500970000000130e+00,9.035961719999999531e+00
4.720150989999999602e+00,9.036437729999999391e+00
4.718126269999999955e+00,9.037150320000000292e+00
4.717804280000000183e+00,9.037263559999999529e+00
4.717423329999999915e+00,9.037398339999999308e+00
4.717205629999999594e+00,9.037475170000000446e+00
4.716407229999999728e+00,9.037757559999999302e+00
4.716027709999999651e+00,9.037890859999999194e+00
4.715006159999999724e+00,9.038249349999999183e+00
4.713312949999999724e+00,9.038851940000000695e+00
4.712323190000000217e+00,9.039205660000000364e+00
4.712044180000000360e+00,9.039304859999999664e+00
4.711976179999999736e+00,9.039334889999999234e+00
4.711841609999999569e+00,9.039377289999999121e+00
4.710187040000000103e+00,9.039966800000000191e+00
4.709939639999999983e+00,9.040055510000000183e+00
4.709805430000000293e+00,9.040103789999999861e+00
4.706813989999999670e+00,9.041176189999999835e+00
4.706678440000000130e+00,9.041224879999999686e+00
4.706647069999999822e+00,9.041236180000000289e+00
4.706550909999999810e+00,9.041270859999999132e+00
4.703928799999999910e+00,9.042213549999999600e+00
4.702909830000000291e+00,9.042582969999999776e+00
4.702392449999999613e+00,9.042770490000000549e+00
4.701468799999999781e+00,9.043105049999999423e+00
4.699293579999999970e+00,9.043893080000000140e+00
4.698645049999999657e+00,9.044130429999999166e+00
4.698151260000000384e+00,9.044310299999999359e+00
4.697448289999999638e+00,9.044567069999999376e+00
4.696182369999999828e+00,9.044988549999999350e+00
4.695573839999999777e+00,9.045191510000000434e+00
4.695274529999999835e+00,9.045291380000000103e+00
4.694994559999999595e+00,9.045488250000000008e+00
4.693909090000000006e+00,9.046286119999999542e+00
4.672975740000000044e+00,9.056070379999999531e+00
4.665307890000000235e+00,9.058421669999999537e+00
4.603842959999999707e+00,9.079137349999999884e+00
4.603340919999999947e+00,9.079310989999999748e+00
4.602993869999999710e+00,9.079426030000000480e+00
4.601956979999999753e+00,9.079766420000000338e+00
4.561760999999999733e+00,9.096779039999999483e+00
4.540902700000000181e+00,9.100817010000000096e+00
4.540107090000000234e+00,9.101016169999999406e+00
4.508888869999999827e+00,9.110335859999999286e+00
4.507517660000000426e+00,9.110619140000000726e+00
4.412933340000000371e+00,9.132419170000000364e+00
4.411052689999999998e+00,9.132715120000000297e+00
4.311965700000000012e+00,9.149419639999999632e+00
4.310815400000000075e+00,9.149628429999999923e+00
4.210925399999999819e+00,9.166970309999999955e+00
4.210300639999999817e+00,9.167084170000000753e+00
4.209885960000000260e+00,9.167166269999999173e+00
4.208509460000000146e+00,9.167422820000000527e+00
4.095370159999999871e+00,9.186697410000000730e+00
4.092508940000000095e+00,9.187160289999999563e+00
4.047420240000000113e+00,9.193137289999999240e+00
3.980348799999999798e+00,9.204600640000000666e+00
3.978939350000000097e+00,9.204791520000000560e+00
3.977534120000000062e+00,9.205002580000000378e+00
3.869406689999999926e+00,9.219904930000000221e+00
3.866735199999999928e+00,9.220252470000000145e+00
3.760034880000000079e+00,9.233504529999999377e+00
3.759009799999999846e+00,9.233606119999999251e+00
3.758001189999999880e+00,9.233725740000000570e+00
3.700069870000000094e+00,9.239361699999999900e+00
3.698411380000000026e+00,9.239489080000000243e+00
3.641541989999999895e+00,9.243193939999999387e+00
3.640008900000000214e+00,9.243257480000000470e+00
3.591707149999999960e+00,9.244642040000000449e+00
3.590238429999999870e+00,9.244647090000000844e+00
3.542565119999999901e+00,9.244176169999999360e+00
3.541175130000000060e+00,9.244125209999999981e+00
3.498306439999999906e+00,9.241953649999999243e+00
3.496957679999999957e+00,9.241848700000000250e+00
3.454635020000000001e+00,9.237929429999999442e+00
3.452698079999999781e+00,9.237694819999999751e+00
3.413947890000000207e+00,9.232115390000000588e+00
3.412688349999999815e+00,9.231870009999999738e+00
3.373945889999999892e+00,9.224272640000000578e+00
3.372717220000000182e+00,9.223989420000000550e+00
3.335621849999999888e+00,9.214827239999999975e+00
3.299326789999999843e+00,9.204074889999999343e+00
3.297546999999999784e+00,9.203535600000000372e+00
3.296963499999999936e+00,9.203356169999999281e+00
3.262461500000000125e+00,9.191338569999999208e+00
3.229033219999999815e+00,9.177811520000000556e+00
3.227366069999999976e+00,9.177125330000000858e+00
3.226823710000000123e+00,9.176901250000000232e+00
3.195709299999999864e+00,9.162621579999999710e+00
3.166385399999999795e+00,9.146131779999999267e+00
3.164873469999999855e+00,9.145276819999999418e+00
3.134571230000000153e+00,9.125257819999999853e+00
3.133152760000000203e+00,9.124229700000000776e+00
3.105529600000000112e+00,9.103634830000000733e+00
3.105113180000000028e+00,9.103283929999999913e+00
3.079113149999999965e+00,9.079740470000000840e+00
3.057847579999999788e+00,9.057486920000000552e+00
3.056569890000000012e+00,9.056134800000000595e+00
3.039384179999999880e+00,9.035360750000000607e+00
3.026618950000000030e+00,9.016267870000000073e+00
3.026237769999999827e+00,9.015672580000000380e+00
3.025943559999999977e+00,9.015171210000000102e+00
3.016437439999999803e+00,8.997951970000000799e+00
3.009758970000000033e+00,8.982611009999999396e+00
3.009626889999999833e+00,8.982268799999999942e+00
3.005555579999999782e+00,8.970708300000000079e+00
3.002453819999999940e+00,8.959480649999999713e+00
