x0,z0,x1,z1,face
4.310815403936628,9.1496284338532554,4.3119656999135216,9.1494196406198913,0
4.2109253982695236,9.1669703068058688,4.310815403936628,9.1496284338532554,0
4.2103006355537484,9.1670841725275185,4.2109253982695236,9.1669703068058688,0
4.209885962883896,9.1671662722584184,4.2103006355537484,9.1670841725275185,0
4.208509461300932,9.1674228164639224,4.209885962883896,9.1671662722584184,0
5.2227408508616939,8.9635146868514397,5.2066801414872481,8.9653304167755952,0
5.2066801414872481,8.9653304167755952,5.1696985759572227,8.9687056320588887,0
4.969676510137556,8.9853532398555007,4.9689869039605359,8.9854094068680546,0
5.0582330309212651,8.9783330284267091,4.969676510137556,8.9853532398555007,0
4.6939090892948228,9.0462861229872757,4.6729757410757244,9.0560703782698209,0
4.6653078931086887,9.058421665145131,4.6729757410757244,9.0560703782698209,0
4.6038429648533024,9.0791373498937205,4.6653078931086887,9.058421665145131,0
4.6033409185933554,9.0793109916465085,4.6038429648533024,9.0791373498937205,0
4.6029938747155104,9.0794260345429265,4.6033409185933554,9.0793109916465085,0
4.6019569829896678,9.0797664164829275,4.6029938747155104,9.0794260345429265,0
4.8328060330912486,9.003013547374314,4.8345049911222269,9.0026403578740091,0
4.8313674148460297,9.0033331510355268,4.8291859508867159,9.0038227961808541,0
4.8284657498883208,9.0039858629937104,4.8278656566990703,9.0041234122367655,0
4.8200213979167605,9.0059638766287531,4.8188157418057997,9.0062543350323025,0
4.8188157418057997,9.0062543350323025,4.817205221721359,9.006646934401088,0
4.817205221721359,9.006646934401088,4.8149598334825914,9.0072025028423184,0
4.8043507711916593,9.0099303461520908,4.8062692032336907,9.0094241108201505,0
4.7164072256150762,9.0377575624094764,4.7160277066650327,9.0378908567346965,0
4.6974482885599418,9.0445670696364893,4.6961823715500524,9.0449885549721003,0
4.6981512644473815,9.044310299028373,4.6974482885599418,9.0445670696364893,0
4.9655588687096053,8.9858227496709588,4.9689869039605359,8.9854094068680546,0
4.8783532915934531,8.9946340856303291,4.8736226670172815,8.995341936957681,0
4.8665303987648931,8.9964745385194806,4.8662932156367722,8.9965142741804769,0
4.8662932156367722,8.9965142741804769,4.864169817107955,8.996863427146657,0
4.8398141197403692,9.0014902700093664,4.8387054150291027,9.0017415981158475,0
4.8387054150291027,9.0017415981158475,4.8373066739290964,9.0020373122517245,0
4.8373066739290964,9.0020373122517245,4.8361867178297677,9.0022762272781982,0
4.806755825924137,9.0092963663053105,4.8062692032336907,9.0094241108201505,0
4.8024067786795834,9.0104500431580981,4.8011097617935636,9.0108015733688589,0
4.8011097617935636,9.0108015733688589,4.7994868818200285,9.0112449218723008,0
4.718126274485523,9.0371503208990589,4.717804277628546,9.0372635632869347,0
