x,z,cp,tangential_velocity
9.971747281035090449e-01,1.214081625706853705e-02,3.129287782530784101e-01,-8.288975942460694579e-01
9.969543531794020641e-01,1.217100336422314438e-02,3.292776937403711912e-01,-8.189763771071963960e-01
9.967249690099216908e-01,1.219693619770626132e-02,3.615721110749723355e-01,-7.990168264342295545e-01
9.964874273806414440e-01,1.222379126591515396e-02,3.729182292390358366e-01,-7.918849479318091911e-01
9.962417319547469674e-01,1.225156815471144592e-02,3.782169011452219953e-01,-7.885322433830959099e-01
9.959878865211657661e-01,1.228026643574114604e-02,3.806087104802614585e-01,-7.870141609397752758e-01
9.957258949945083648e-01,1.230988566644126286e-02,3.813421294065447720e-01,-7.865480726525589938e-01
9.954557614150083555e-01,1.234042539004661862e-02,3.810435813149215534e-01,-7.867378335157643177e-01
9.951774899484595593e-01,1.237188513559689222e-02,3.800657329579039123e-01,-7.873590458247724522e-01
9.948910848861522993e-01,1.240426441794389642e-02,3.786162095915700521e-01,-7.882790054342624364e-01
9.945965506448068982e-01,1.243756273775903885e-02,3.768122163395584145e-01,-7.894224367602187264e-01
9.942938917665056220e-01,1.247177958154103289e-02,3.747046104109490461e-01,-7.907562137530447233e-01
9.939831129186230685e-01,1.250691442162382358e-02,3.722929850043720235e-01,-7.922796318192384390e-01
9.936642188937532261e-01,1.254296671618471137e-02,3.695487928980945025e-01,-7.940095762028979154e-01
9.933372146096366428e-01,1.257993590925271347e-02,3.664510406154579680e-01,-7.959578879466815415e-01
9.930021051090838213e-01,1.261782143071714726e-02,3.630136171656269672e-01,-7.981142667778674538e-01
9.926588955598978359e-01,1.265662269633639411e-02,3.592782967725333121e-01,-8.004509374268148347e-01
9.923075912547943966e-01,1.269633910774694771e-02,3.552799608050942748e-01,-8.029446053090497637e-01
9.919481976113205812e-01,1.273697005247260636e-02,3.510113549006685929e-01,-8.055983149804444299e-01
9.915807201717710129e-01,1.277851490393393935e-02,3.463946922422073138e-01,-8.084585999034166193e-01
9.912051646031023733e-01,1.282097302145794940e-02,3.412327403824779726e-01,-8.116447866015785717e-01
9.908215366968459170e-01,1.286434375028793972e-02,3.350400142428177075e-01,-8.154507868395138859e-01
9.904298423690187647e-01,1.290862642159361535e-02,3.260422542865947237e-01,-8.209492954582550128e-01
9.900299268253260898e-01,1.295224583811538030e-02,3.166120184442665630e-01,-8.266728382835215605e-01
9.896215030308046501e-01,1.299233098272972384e-02,3.171117135176910740e-01,-8.263705503479107373e-01
9.892047292399954728e-01,1.303036883366075205e-02,3.232669307377170620e-01,-8.226378724945034859e-01
9.887798962036572492e-01,1.306914223079648323e-02,3.250932642618872270e-01,-8.215270754747604487e-01
9.883470104732410277e-01,1.310865057620317492e-02,3.256241197316305236e-01,-8.212039212451249792e-01
9.879060787243799657e-01,1.314889326061327232e-02,3.255273277144954402e-01,-8.212628521280531668e-01
9.874571077567874111e-01,1.318986966343478617e-02,3.250670357443473657e-01,-8.215430385899771260e-01
9.870001044941509871e-01,1.323157915276090141e-02,3.243750667269870158e-01,-8.219640705487150090e-01
9.865350759840262329e-01,1.327402108537969680e-02,3.235267539077385512e-01,-8.224799365894960301e-01
9.860620293977281348e-01,1.331719480678406758e-02,3.225692343681173524e-01,-8.230618236997040427e-01
9.855809720302202148e-01,1.336109965118182155e-02,3.215339625633448772e-01,-8.236904985713111582e-01
9.850919113000022875e-01,1.340573494150594167e-02,3.204429418574462618e-01,-8.243525084225520327e-01
9.845948547489957736e-01,1.345109998942503604e-02,3.193121292756888607e-01,-8.250381025893962494e-01
9.840898100424273487e-01,1.349719409535394751e-02,3.181534519778004277e-01,-8.257400002556491980e-01
9.835767849687113706e-01,1.354401654846454361e-02,3.169761028649052959e-01,-8.264525982384559599e-01
9.830557874393291984e-01,1.359156662669667309e-02,3.157874534718245751e-01,-8.271714130264509190e-01
9.825268254887070674e-01,1.363984359676930630e-02,3.145937611951601376e-01,-8.278926493240774676e-01
9.819899072740926327e-01,1.368884671419184559e-02,3.134007540567061989e-01,-8.286128444233131773e-01
9.814450410754289589e-01,1.373857522327559706e-02,3.122141196590945134e-01,-8.293285720032232966e-01
9.808922352952269552e-01,1.378902835714543654e-02,3.110399088196570405e-01,-8.300361987168649591e-01
9.803314984584355907e-01,1.384020533775162654e-02,3.098848950149137860e-01,-8.307316684616556923e-01
9.797628392123104435e-01,1.389210537588181707e-02,3.087569956664055759e-01,-8.314102503178526504e-01
9.791862663262806965e-01,1.394472767117321474e-02,3.076659367765116615e-01,-8.320661411351193415e-01
9.786017886918133568e-01,1.399807141212492875e-02,3.066244328401910302e-01,-8.326917599927412539e-01
9.780094153222766984e-01,1.405213577611048523e-02,3.056503320884541575e-01,-8.332764654732220944e-01
9.774091553528008181e-01,1.410691992939051495e-02,3.047706300709349669e-01,-8.338041556199303761e-01
9.768010180401369702e-01,1.416242302712560075e-02,3.040294559126176521e-01,-8.342484906113899479e-01
9.761850127625149032e-01,1.421864421338931046e-02,3.035055711086124264e-01,-8.345624176125998606e-01
9.755611490194979751e-01,1.427558262118140686e-02,3.033563729665667008e-01,-8.346517998743148148e-01
9.749294364318369377e-01,1.433323737244120849e-02,3.039545652062244363e-01,-8.342933745354661479e-01
9.742898847413212771e-01,1.439160757806112398e-02,3.065393076412893381e-01,-8.327428728957760873e-01
9.736425760983282718e-01,1.445140025765274776e-02,3.140056727927799107e-01,-8.282477450661849261e-01
9.729885955333461567e-01,1.452217805497418163e-02,3.041219214059175391e-01,-8.341930703344894171e-01
9.723278302446993759e-01,1.460184364025343337e-02,2.733967397354709616e-01,-8.524102652270965086e-01
9.716580498418748713e-01,1.467118559559336261e-02,2.664945567318938169e-01,-8.564493232340756323e-01
9.709793144932761244e-01,1.473158265188848244e-02,2.765530554858343093e-01,-8.505568437877422117e-01
9.702927994383794275e-01,1.479267198295638845e-02,2.793617333231925848e-01,-8.489041563550077107e-01
9.695985152640962390e-01,1.485445264672402566e-02,2.803871905638972706e-01,-8.482999525144998554e-01
9.688964726771475133e-01,1.491692369045713104e-02,2.806590515364117966e-01,-8.481396986720927123e-01
9.681866825038982771e-01,1.498008415077492494e-02,2.805344737087631657e-01,-8.482131373017260945e-01
9.674691556901910960e-01,1.504393305366498457e-02,2.801724642705821777e-01,-8.484265057914078811e-01
9.667439033011770988e-01,1.510846941449823719e-02,2.796544652239371098e-01,-8.487317213207380417e-01
9.660109365211451138e-01,1.517369223804416675e-02,2.790257787602556938e-01,-8.491020087361378366e-01
9.652702666533496956e-01,1.523960051848614189e-02,2.783125528828849227e-01,-8.495218932535612000e-01
9.645219051198368199e-01,1.530619323943695556e-02,2.775295300778704011e-01,-8.499826291884614582e-01
9.637658634612665809e-01,1.537346937395446533e-02,2.766836933790662867e-01,-8.504800448105374056e-01
9.630021533367367770e-01,1.544142788455745742e-02,2.757757130720174255e-01,-8.510136819863606261e-01
9.622307865236024993e-01,1.551006772324162522e-02,2.747997817454391756e-01,-8.515868823875581972e-01
9.614517749172940553e-01,1.557938783149574562e-02,2.737415626721091400e-01,-8.522079777424586000e-01
9.606651305311341149e-01,1.564938714031799752e-02,2.725726796273567620e-01,-8.528934988453383825e-01
9.598708654961521924e-01,1.572006457023244347e-02,2.712364354704287495e-01,-8.536764987567428964e-01
9.590689920608976848e-01,1.579141903130568819e-02,2.696030488537507486e-01,-8.546326410489183401e-01
9.582595225912511339e-01,1.586344942316366205e-02,2.672346527358296919e-01,-8.560171419219186895e-01
9.574424271867951752e-01,1.593566040277486981e-02,2.640517290131406680e-01,-8.578742745804068814e-01
9.566175331445023744e-01,1.600589003522176132e-02,2.640500638272688105e-01,-8.578752451101099297e-01
9.557848934889168202e-01,1.607460721743966120e-02,2.665490145674338507e-01,-8.564175298489435928e-01
9.549447042842402755e-01,1.614394745878890147e-02,2.674998899332732272e-01,-8.558622027328504078e-01
9.540969784872299631e-01,1.621390968995718718e-02,2.679917670235163474e-01,-8.555747968333824449e-01
9.532417291708663587e-01,1.628449283204037173e-02,2.682642017691211356e-01,-8.554155704865786802e-01
9.523789695241516862e-01,1.635569579655907907e-02,2.684117007467523575e-01,-8.553293513338868781e-01
9.515087128519070792e-01,1.642751748547552348e-02,2.684815933009845335e-01,-8.552884932576934052e-01
9.506309725745671901e-01,1.649995679121040587e-02,2.685010624316788164e-01,-8.552771115657902268e-01
9.497457622279726897e-01,1.657301259666002502e-02,2.684871965671276062e-01,-8.552852175928638001e-01
9.488530954631622105e-01,1.664668377521348261e-02,2.684514650555515081e-01,-8.553061059903924734e-01
9.479529860461615165e-01,1.672096919077007207e-02,2.684019801209024392e-01,-8.553350337026407457e-01
9.470454478577714497e-01,1.679586769775679236e-02,2.683447581222075939e-01,-8.553684830982448695e-01
9.461304948933534353e-01,1.687137814114601092e-02,2.682844801289933079e-01,-8.554037174755594330e-01
9.452081412626140988e-01,1.694749935647327233e-02,2.682249773008184013e-01,-8.554384973212169063e-01
9.442784011893872176e-01,1.702423016985528045e-02,2.681695496199559825e-01,-8.554708939409008117e-01
9.433412890114152294e-01,1.710156939800797082e-02,2.681211744908664762e-01,-8.554991674508710675e-01
9.423968191801269656e-01,1.717951584826476336e-02,2.680826394288339243e-01,-8.555216891296012482e-01
9.414450062604156066e-01,1.725806831859497820e-02,2.680566249629710018e-01,-8.555368928556085217e-01
9.404858649304137508e-01,1.733722559762235216e-02,2.680457619610498998e-01,-8.555432414781558581e-01
9.395194099812673727e-01,1.741698646464371475e-02,2.680526875296879163e-01,-8.555391940000832696e-01
9.385456563169072286e-01,1.749734968964782728e-02,2.680801237685634941e-01,-8.555231593776035925e-01
9.375646189538195951e-01,1.757831403333434683e-02,2.681310045763137806e-01,-8.554934221977900100e-01
9.365763130208140108e-01,1.765987824713293602e-02,2.682086801907164197e-01,-8.554480228566102573e-01
9.355807537587905731e-01,1.774204107322252186e-02,2.683172424077003848e-01,-8.553845670762943998e-01
9.345779565205047934e-01,1.782480124455067955e-02,2.684620448554422278e-01,-8.552999211648261157e-01
9.335679367703304532e-01,1.790815748485319325e-02,2.686505614016543309e-01,-8.551897091279487828e-01
9.325507100840217944e-01,1.799210850867371744e-02,2.688938760822866536e-01,-8.550474395714622311e-01
9.315262921484723790e-01,1.807665302138361865e-02,2.692094441936834226e-01,-8.548628871382337735e-01
9.304946987614741705e-01,1.816178971920191787e-02,2.696266326534774160e-01,-8.546188433135104567e-01
9.294559458314733957e-01,1.824751728921542027e-02,2.701989898846497429e-01,-8.542839165730268247e-01
9.284100493773251861e-01,1.833383440939893860e-02,2.710351912130880558e-01,-8.537943597769382942e-01
9.273570255280467745e-01,1.842073974863570399e-02,2.723930488134020944e-01,-8.529987990534323439e-01
9.262968905225684724e-01,1.850823196673788418e-02,2.750657525095890898e-01,-8.514307062177232099e-01
9.252296607094835368e-01,1.859630971446723374e-02,2.833532968637592075e-01,-8.465498822492628639e-01
9.241570954002095162e-01,1.870181007868044337e-02,2.716878926033162722e-01,-8.534120384648224977e-01
9.230778861603767815e-01,1.881163386759429276e-02,2.483919547042541254e-01,-8.669533120622735511e-01
9.219897460818025081e-01,1.890343455032122977e-02,2.537632440298105418e-01,-8.638499614922660053e-01
9.208940160321726909e-01,1.899029721217505157e-02,2.605979370125807160e-01,-8.598849126408831811e-01
9.197912727190779014e-01,1.907771584192723135e-02,2.636910119911329842e-01,-8.580844876868868321e-01
9.186815331481842373e-01,1.916568909147434857e-02,2.657276815070546139e-01,-8.568969124071724730e-01
9.175648144330486033e-01,1.925421560416006039e-02,2.672984098773514283e-01,-8.559799005366005575e-01
9.164411337948549230e-01,1.934329401479604332e-02,2.686263523075641535e-01,-8.552038632352146896e-01
9.153105085621489057e-01,1.943292294968300762e-02,2.698176537895349281e-01,-8.545070779171258790e-01
9.141729561705700391e-01,1.952310102663189217e-02,2.709304553848348451e-01,-8.538556930858780536e-01
9.130284941625836925e-01,1.961382685498520156e-02,2.719999782653456100e-01,-8.532291730447655320e-01
9.118771401872096671e-01,1.970509903563842646e-02,2.730493197348969892e-01,-8.526140277201067486e-01
9.107189119997505244e-01,1.979691616106163399e-02,2.740946802713692954e-01,-8.520007744882810430e-01
9.095538274615178054e-01,1.988927681532116909e-02,2.751481297145444982e-01,-8.513823290892614803e-01
9.083819045395562508e-01,1.998217957410148085e-02,2.762191807233854712e-01,-8.507530894899028029e-01
9.072031613063671340e-01,2.007562300472710837e-02,2.773157428067287711e-01,-8.501083796747749277e-01
9.060176159396291506e-01,2.016960566618475684e-02,2.784447386665629409e-01,-8.494440895864995289e-01
9.048252867219186424e-01,2.026412610914551937e-02,2.796125320012948778e-01,-8.487564244226403209e-01
9.036261920404271564e-01,2.035918287598724452e-02,2.808252520776778338e-01,-8.480417135508855342e-01
9.024203503866777831e-01,2.045477450081699053e-02,2.820890689658339667e-01,-8.472962475038857688e-01
9.012077803562407174e-01,2.055089950949365307e-02,2.834104589228914062e-01,-8.465161197975550333e-01
8.999885006484458216e-01,2.064755641965068667e-02,2.847964956529300817e-01,-8.456970523462109535e-01
8.987625300660944117e-01,2.074474374071896832e-02,2.862552084599356839e-01,-8.448341799075510528e-01
8.975298875151694888e-01,2.084245997394977221e-02,2.877960647471402567e-01,-8.439217589639810280e-01
8.962905920045440844e-01,2.094070361243791090e-02,2.894306689546267686e-01,-8.429527454403201725e-01
8.950446626456881605e-01,2.103947314114494246e-02,2.911738395430991666e-01,-8.419181435608219521e-01
8.937921186523736239e-01,2.113876703692255110e-02,2.930453689425792652e-01,-8.408059413785209379e-01
8.925329793403782297e-01,2.123858376853602487e-02,2.950730846146245590e-01,-8.395992588046844451e-01
8.912672641271878193e-01,2.133892179668789302e-02,2.972985715997816802e-01,-8.382728842090851895e-01
8.899949925316967825e-01,2.143977957404163276e-02,2.997888712421540314e-01,-8.367861905874438566e-01
8.887161841739070756e-01,2.154115554524554943e-02,3.026633927256978662e-01,-8.350668280289321732e-01
8.874308587746255750e-01,2.164304814695676427e-02,3.061671640167351605e-01,-8.329662874230053804e-01
8.861390361551597650e-01,2.174545580786530624e-02,3.109324553218094644e-01,-8.301009243930466130e-01
8.848407362370125373e-01,2.184837694871836003e-02,3.196336694520209853e-01,-8.248432157373781770e-01
8.835369317270060918e-01,2.196141342722881390e-02,3.252752317460154696e-01,-8.214163184731506639e-01
8.822289683765585089e-01,2.209789077316632461e-02,3.081664134478254713e-01,-8.317653434425928971e-01
8.809138865445662603e-01,2.222834645772234913e-02,2.944749153363898087e-01,-8.399554063541767590e-01
8.795903788301986381e-01,2.233943083746468827e-02,3.063046954501109642e-01,-8.328837281096858058e-01
8.782605637354041761e-01,2.245183529404640860e-02,3.117153428677427174e-01,-8.296292287113908870e-01
8.769244753696012751e-01,2.256571864834260033e-02,3.163254953593792607e-01,-8.268461190817918416e-01
8.755824384112405045e-01,2.268389536767712045e-02,3.191147006417233145e-01,-8.251577421064876239e-01
8.742350829910077170e-01,2.281193590001396460e-02,3.096609181447999015e-01,-8.308664645147257888e-01
8.728801783101827194e-01,2.292505663758841877e-02,3.129905624447384405e-01,-8.288603245150907295e-01
8.715179544933315814e-01,2.302852769010051842e-02,3.310163919577882030e-01,-8.179141813431356489e-01
8.701503655689113437e-01,2.314432737988302707e-02,3.324448843715898105e-01,-8.170404614389731313e-01
8.687766692013505487e-01,2.326225390843193047e-02,3.357534337437156902e-01,-8.150132307246823471e-01
8.673968760001228295e-01,2.338198443216995756e-02,3.394889103282274778e-01,-8.127183335398386888e-01
8.660109956069355075e-01,2.350335493982148166e-02,3.434222746925932324e-01,-8.102948385047301638e-01
8.646187796831246164e-01,2.362319848933619459e-02,3.521790963482884784e-01,-8.048732220988045194e-01
8.632212505256641188e-01,2.375129855783086885e-02,3.585302252408265611e-01,-8.009180824273937072e-01
8.618187661775087438e-01,2.388834230121003252e-02,3.600262295887698416e-01,-7.999836063390487473e-01
8.604121574877382495e-01,2.403723720155536564e-02,3.581375660803103322e-01,-8.011631755888993789e-01
8.590005075772806364e-01,2.419577390969054886e-02,3.422125527975113934e-01,-8.110409651814688425e-01
8.575792709796041802e-01,2.432684395978082503e-02,3.511349957325359261e-01,-8.055215728132077979e-01
8.561498344846708575e-01,2.444063352895863017e-02,3.817634353780948731e-01,-7.862802074463690616e-01
8.547168117562380374e-01,2.458086039508418710e-02,3.915264451879250096e-01,-7.800471490955370735e-01
8.532800162026431545e-01,2.474438039547088852e-02,3.862317633242510206e-01,-7.834336198273271767e-01
8.518377835703394574e-01,2.491303911489340522e-02,3.860235550271712279e-01,-7.835664904606556291e-01
8.503899596064705690e-01,2.508525104789795929e-02,3.886431592801027346e-01,-7.818931133600661720e-01
8.489367955333428917e-01,2.526279098696343137e-02,3.925474042890112480e-01,-7.793924529471585316e-01
8.474787044383342849e-01,2.544861464973669288e-02,3.947872760796189429e-01,-7.779541914022837235e-01
