x,z
3.349845590000000151e+00,7.836240130000000192e+00
3.350581570000000120e+00,7.835328699999999813e+00
3.351499089999999903e+00,7.834210709999999800e+00
3.352496390000000215e+00,7.833093220000000301e+00
3.353884059999999945e+00,7.831696700000000178e+00
3.354700250000000050e+00,7.830885290000000332e+00
3.356041830000000115e+00,7.829675090000000282e+00
3.357589990000000135e+00,7.828409729999999733e+00
3.358056330000000145e+00,7.828034060000000238e+00
3.359762089999999812e+00,7.826784550000000173e+00
3.361855559999999965e+00,7.825418209999999597e+00
3.363160269999999841e+00,7.824741699999999689e+00
3.369978750000000023e+00,7.821353000000000222e+00
3.371507049999999950e+00,7.820590310000000045e+00
3.385985150000000221e+00,7.815719030000000345e+00
3.387734730000000027e+00,7.815236170000000371e+00
3.389538679999999804e+00,7.814558380000000248e+00
3.399691779999999941e+00,7.812682849999999846e+00
3.412479990000000019e+00,7.812520189999999864e+00
3.416573350000000175e+00,7.811625870000000305e+00
3.417896129999999921e+00,7.812195039999999757e+00
3.421617659999999894e+00,7.812635720000000283e+00
3.422603220000000057e+00,7.813219899999999996e+00
3.425070470000000089e+00,7.815015540000000094e+00
3.425290720000000011e+00,7.815249480000000304e+00
3.425417579999999962e+00,7.815446579999999699e+00
3.425445410000000024e+00,7.815493960000000406e+00
3.425452149999999918e+00,7.815505700000000111e+00
3.425453249999999894e+00,7.815507870000000246e+00
3.425454150000000197e+00,7.815508040000000101e+00
3.425454750000000104e+00,7.815509910000000282e+00
3.426552370000000014e+00,7.815362750000000247e+00
3.432346229999999832e+00,7.814550399999999897e+00
3.432469429999999821e+00,7.814514660000000390e+00
3.433130339999999947e+00,7.814320249999999746e+00
3.433231629999999868e+00,7.814279479999999722e+00
3.433778220000000214e+00,7.814058509999999735e+00
3.434625290000000053e+00,7.813563219999999809e+00
3.434779939999999865e+00,7.813472370000000389e+00
3.434960199999999908e+00,7.813325800000000321e+00
3.435955040000000071e+00,7.812527089999999674e+00
3.436468300000000031e+00,7.811983729999999682e+00
3.439370999999999956e+00,7.808971419999999775e+00
3.439766790000000185e+00,7.808444670000000087e+00
3.442146090000000047e+00,7.805362170000000432e+00
3.445301800000000192e+00,7.800399869999999680e+00
3.445755590000000090e+00,7.799662070000000114e+00
3.448092130000000033e+00,7.796509359999999944e+00
3.448406750000000187e+00,7.796072770000000318e+00
3.449468729999999983e+00,7.794911339999999633e+00
3.457506579999999996e+00,7.786306689999999975e+00
3.458563330000000047e+00,7.785230710000000443e+00
3.468345740000000177e+00,7.775462329999999866e+00
3.468502669999999899e+00,7.774678090000000097e+00
